"PlantID";"Genotype";"Treatment";"DAS";"Realtime";"side.geometry.vis.height.norm (mm)";"combined.geometry.vis.volume.iap.norm (voxel)"
"1116BA1328";"ZEA 333";"normal";20;20.6351505439815;476.745735607676;5356187.56944408
"1116BA1001";"Athletico";"normal";20;20.6357388310185;649.453624733475;10787256.2024684
"1116BA1294";"ZEA 3455";"normal";20;20.6363625694444;501.212686567164;5712074.11511759
"1116BA1204";"Athletico";"wet";20;20.6372109143519;740.844882729211;13808081.1764887
"1116BA1236";"ZEA 16";"normal";20;20.638063599537;513.446162046908;10170105.8379279
"1116BA1358";"ZEA 719";"normal";20;20.6389103125;728.447142857143;11153568.6921001
"1116BA1186";"ZEA 384";"dry";20;20.639767337963;489.339019189765;10204627.6470929
"1116BA1129";"ZEA 3361";"wet";20;20.6406127893519;447.601279317697;4815687.76753034
"1116BA1173";"Athletico";"dry";20;20.6414618518519;770.708955223881;16185423.443548
"1116BA1355";"ZEA 1181";"dry";20;20.6423101967593;874.693496801706;18608622.7198778
"1116BA1257";"ZEA 3425";"dry";20;20.6431563657407;817.84381663113;12088599.4831593
"1116BA1046";"ZEA 3455";"normal";20;20.6440038078704;544.389658848614;6423262.31738583
"1116BA1095";"Athletico";"dry";20;20.6448483564815;806.689765458422;11201967.4259533
"1116BA1078";"Fernandez";"normal";20;20.6456986921296;915.351812366738;11403226.2764236
"1116BA1198";"Fernandez";"dry";20;20.6465443171296;674.280383795309;11946088.4756314
"1116BA1220";"ZEA 3";"dry";20;20.6473910300926;730.410447761194;8722790.89671278
"1116BA1233";"ZEA 3327";"normal";20;20.6482368518519;499.413646055437;7277115.61238373
"1116BA1104";"ZEA 3348";"normal";20;20.6499277430556;640.45842217484;11329505.956184
"1116BA1177";"ZEA 3434";"wet";20;20.6507744675926;522.441364605544;9301875.18972681
"1116BA1006";"Athletico";"dry";20;20.6516188310185;731.48987206823;11960933.1221516
"1116BA1072";"ZEA 1129";"wet";20;20.6524671759259;644.41631130064;7783738.73359973
"1116BA1247";"ZEA 3303";"wet";20;20.6533128009259;523.160980810235;8122139.4822043
"1116BA1212";"ZEA 710";"dry";20;20.6541595138889;597.28144989339;9031767.38927578
"1116BA1189";"ZEA 384";"normal";20;20.6550033449074;595.482409381663;9474948.44285532
"1116BA1188";"Athletico";"wet";20;20.6558495138889;855.983475479744;18827402.1051762
"1116BA1132";"ZEA 701";"wet";20;20.6566973148148;446.162046908316;4085825.27796843
"1116BA1168";"ZEA 3434";"normal";20;20.6575434837963;554.824093816631;11073651.1622829
"1116BA1211";"Athletico";"wet";20;20.6583887615741;671.0421108742;9708728.8679523
"1116BA1338";"ZEA 3426";"dry";20;20.6600792939815;726.452558635394;9720877.63623109
"1116BA1190";"ZEA 249";"normal";20;20.6609290856481;375.279850746269;3283174.5238015
"1116BA1317";"ZEA 472";"dry";20;20.6617700115741;690.831556503198;10257589.6923492
"1116BA1182";"ZEA 3548";"normal";20;20.6704134953704;736.527185501066;6303498.356577
"1116BA1160";"ZEA 249";"normal";20;20.6710008796296;483.222281449893;5531163.67652638
"1116BA1144";"ZEA 472";"dry";20;20.6716228009259;550.146588486141;6739082.81574123
"1116BA1150";"ZEA 852";"wet";20;20.6724653587963;759.195095948827;2071289.58843584
"1116BA1143";"Fernandez";"dry";20;20.6733124421296;818.923240938166;12808193.9201906
"1116BA1162";"ZEA 3303";"normal";20;20.6741535532407;592.6039445629;6071859.14225312
"1116BA1270";"Fernandez";"normal";20;20.6749970138889;850.586353944563;16229435.9997155
"1116BA1155";"ZEA 719";"dry";20;20.6758413773148;721.415245202559;12079235.8974334
"1116BA1181";"ZEA 3434";"normal";20;20.6766891782407;634.341684434968;9622940.45884985
"1116BA1145";"Fernandez";"dry";20;20.6775308333333;667.444029850746;15557032.7123066
"1116BA1407";"ZEA 3303";"normal";20;20.6783768171296;598.001066098081;9366189.5618267
"1116BA1101";"ZEA 3338";"dry";20;20.6792197337963;1229.82409381663;10825130.0099886
"1116BA1047";"Fernandez";"normal";20;20.6809046759259;809.928038379531;12187929.4044575
"1116BA1113";"ZEA 3606";"dry";20;20.6817450578704;557.702558635394;11175933.0832184
"1116BA1094";"ZEA 3528";"dry";20;20.6825892361111;1270.12260127932;10202905.3311301
"1116BA1077";"Fernandez";"wet";20;20.6834363194444;798.414179104478;12235964.9552328
"1116BA1103";"ZEA 1181";"wet";20;20.684281412037;744.442963752665;11190998.3064834
"1116BA1284";"Athletico";"dry";20;20.6851255902778;613.832622601279;9376261.87000295
"1116BA1265";"Athletico";"normal";20;20.6859667013889;846.628464818763;13898598.1556066
"1116BA1110";"Athletico";"normal";20;20.6868117939815;935.141257995736;12719055.6121279
"1116BA1107";"ZEA 1066";"dry";20;20.6876505439815;856.703091684435;5272323.26724924
"1116BA1336";"ZEA 3606";"dry";20;20.6884931018519;588.286247334755;8161244.62720492
"1116BA1334";"ZEA 16";"dry";20;20.68934;738.686034115139;7399346.6664253
"1116BA1156";"ZEA 712";"dry";20;20.6901834606481;892.324093816631;9874580.81088424
"1116BA1032";"ZEA 3548";"dry";20;20.6910256597222;588.286247334755;8116326.1416691
"1116BA1163";"ZEA 323";"normal";20;20.6918709259259;998.827292110874;6996838.38985766
"1116BA1033";"Fernandez";"normal";20;20.6927102314815;815.684968017058;11351797.8801077
"1116BA1230";"Fernandez";"normal";20;20.6935549537037;1035.16791044776;11514710.1839571
"1116BA1408";"ZEA 3303";"dry";20;20.6943989583333;568.136993603411;7059800.09036316
"1116BA1043";"ZEA 710";"normal";20;20.6952400694444;703.065031982942;13586252.2484649
"1116BA1073";"Athletico";"normal";20;20.6960865972222;779.344349680171;10544803.4299024
"1116BA1406";"ZEA 3572";"dry";20;20.6969284375;685.794243070362;3747010.76409598
"1116BA1170";"ZEA 3572";"normal";20;20.7054424305556;1254.29104477612;10230976.6608458
"1116BA1279";"Athletico";"dry";20;20.7060280092593;733.648720682303;11322312.8885383
"1116BA1024";"ZEA 3434";"dry";20;20.7066473958333;1246.01545842217;8347061.05911583
